endpoint_url,method,status,response_time_in_milliseconds,client,request_on,target_status_code,proxy_status_code
/rest/V1/categorylist/42,POST,200,2528,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2339,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2660,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,6830,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,3122,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2210,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2619,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2202,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2426,abcd,Invalid Date,,
/rest/V1/categorylist/42,POST,200,2466,abcd,Invalid Date,,